,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,75.0,EC,1587168868.0,88.0,-0.74,-90.35,78.8,6.55
1,hermanus,99.0,ZA,1587168998.0,86.0,-34.42,19.23,57.99,5.99
2,rikitea,1.0,PF,1587169075.0,63.0,-23.12,-134.97,77.32,0.96
3,port-gentil,20.0,GA,1587168848.0,94.0,-0.72,8.78,78.8,6.93
4,new norfolk,58.0,AU,1587169081.0,79.0,-42.78,147.06,55.99,3.0
5,lodeynoye pole,55.0,RU,1587169082.0,97.0,60.73,33.55,30.85,6.15
7,coahuayana,20.0,MX,1587168992.0,35.0,18.73,-103.68,87.8,11.41
8,salalah,20.0,OM,1587168875.0,78.0,17.02,54.09,80.6,3.36
9,verkhnevilyuysk,42.0,RU,1587169082.0,89.0,63.45,120.32,9.99,6.64
10,esperance,46.0,AU,1587169082.0,72.0,-33.87,121.9,59.0,16.11
11,kaparellion,20.0,GR,1587169083.0,76.0,38.23,23.22,53.01,2.1
12,farafangana,22.0,MG,1587169083.0,81.0,-22.82,47.83,74.08,7.18
13,talnakh,97.0,RU,1587169083.0,86.0,69.49,88.4,26.6,20.13
14,ouegoa,100.0,NC,1587169083.0,68.0,-20.35,164.43,81.52,6.71
15,provideniya,100.0,RU,1587169084.0,96.0,64.38,-173.3,28.24,19.06
16,mataura,95.0,NZ,1587169084.0,82.0,-46.19,168.86,57.0,8.99
17,albany,100.0,US,1587169084.0,57.0,42.6,-73.97,43.0,1.59
18,fort nelson,40.0,CA,1587169085.0,42.0,58.81,-122.7,46.4,4.7
19,thompson,90.0,CA,1587168901.0,91.0,55.74,-97.86,33.8,2.24
20,waddan,0.0,LY,1587168870.0,44.0,29.16,16.14,65.52,7.94
21,maldonado,20.0,UY,1587169085.0,93.0,-34.67,-54.92,62.6,3.36
22,port alfred,11.0,ZA,1587169085.0,94.0,-33.59,26.89,64.0,4.0
23,ushuaia,40.0,AR,1587168990.0,34.0,-54.8,-68.3,53.6,11.41
24,puerto quijarro,4.0,BO,1587169086.0,64.0,-17.78,-57.77,66.34,4.23
26,severo-kurilsk,88.0,RU,1587169086.0,95.0,50.68,156.12,31.51,13.47
27,narsaq,99.0,GL,1587169086.0,63.0,60.92,-46.05,30.2,17.22
28,bambous virieux,40.0,MU,1587168840.0,83.0,-20.34,57.76,75.2,5.82
29,andenes,98.0,NO,1587169013.0,86.0,69.31,16.12,34.0,10.29
30,cabo san lucas,20.0,MX,1587168950.0,60.0,22.89,-109.91,82.0,26.4
31,isiro,100.0,CD,1587169087.0,80.0,2.77,27.62,69.21,4.63
32,victoria,100.0,HK,1587169085.0,78.0,22.29,114.16,75.0,5.99
33,rivne,59.0,UA,1587169030.0,68.0,50.62,26.23,37.63,7.54
34,kavieng,94.0,PG,1587168889.0,75.0,-2.57,150.8,81.77,2.15
35,lakkion,90.0,GR,1587169087.0,82.0,37.13,26.85,55.4,3.36
36,atuona,85.0,PF,1587168999.0,73.0,-9.8,-139.03,82.33,12.59
37,cusuna,12.0,HN,1587169088.0,69.0,15.85,-85.23,81.01,16.67
38,mar del plata,33.0,AR,1587169080.0,72.0,-38.0,-57.56,64.99,6.93
39,hilo,20.0,US,1587168824.0,51.0,19.73,-155.09,82.4,12.75
41,pundaguitan,60.0,PH,1587169088.0,75.0,6.37,126.17,81.95,10.02
42,kodiak,90.0,US,1587168830.0,76.0,57.79,-152.41,51.8,9.17
43,clyde river,40.0,CA,1587169089.0,84.0,70.47,-68.59,5.0,11.41
44,punta arenas,81.0,CL,1587169089.0,61.0,-53.15,-70.92,50.0,8.05
45,airai,29.0,TL,1587169089.0,64.0,-8.93,125.41,67.3,3.29
46,nanortalik,100.0,GL,1587169089.0,90.0,60.14,-45.24,29.32,16.24
47,hobart,20.0,AU,1587169090.0,46.0,-42.88,147.33,55.99,17.22
48,atasu,23.0,KZ,1587169090.0,48.0,48.68,71.64,44.37,3.29
49,vaini,20.0,TO,1587168994.0,65.0,-21.2,-175.2,82.4,10.29
50,magaria,1.0,NE,1587169091.0,11.0,13.0,8.91,74.26,6.78
51,kungurtug,77.0,RU,1587169091.0,54.0,50.6,97.52,30.99,5.19
52,barrow,90.0,US,1587169091.0,78.0,71.29,-156.79,12.2,17.22
53,bethel,90.0,US,1587169092.0,69.0,41.37,-73.41,42.01,10.29
54,denpasar,20.0,ID,1587169039.0,94.0,-8.65,115.22,82.4,3.36
56,ust-nera,100.0,RU,1587169092.0,78.0,64.57,143.2,1.29,9.42
57,avarua,32.0,CK,1587169093.0,61.0,-21.21,-159.78,82.4,4.7
58,ponta do sol,7.0,PT,1587169093.0,68.0,32.67,-17.1,57.0,3.0
59,kruisfontein,74.0,ZA,1587169093.0,85.0,-34.0,24.73,55.9,2.17
60,cherskiy,10.0,RU,1587169094.0,89.0,68.75,161.3,7.47,6.35
61,niamey,21.0,NE,1587169094.0,10.0,13.51,2.11,89.6,2.24
62,namatanai,99.0,PG,1587169094.0,72.0,-3.67,152.43,83.01,5.73
63,busselton,95.0,AU,1587169094.0,59.0,-33.65,115.33,59.0,5.93
64,roma,90.0,US,1587168834.0,69.0,43.21,-75.46,37.99,9.17
65,sao miguel do araguaia,23.0,BR,1587169094.0,80.0,-13.28,-50.16,74.26,1.88
66,coihaique,75.0,CL,1587169012.0,76.0,-45.58,-72.07,51.8,3.36
68,zhob,24.0,PK,1587169095.0,48.0,31.34,69.45,56.66,2.75
69,mandaon,8.0,PH,1587169095.0,77.0,12.23,123.28,82.56,13.35
70,faanui,100.0,PF,1587169095.0,72.0,-16.48,-151.75,82.9,9.51
71,saint-pierre,20.0,RE,1587169007.0,73.0,-21.34,55.48,73.4,6.93
72,tuktoyaktuk,90.0,CA,1587168840.0,85.0,69.45,-133.04,15.8,11.41
73,blackwater,13.0,AU,1587169096.0,43.0,-23.58,148.88,82.76,7.23
74,georgetown,20.0,MY,1587168968.0,94.0,5.41,100.34,80.6,4.7
75,padang,79.0,ID,1587168969.0,75.0,-0.95,100.35,78.98,4.65
77,bredasdorp,94.0,ZA,1587169096.0,87.0,-34.53,20.04,54.0,3.36
78,port elizabeth,67.0,ZA,1587169097.0,93.0,-33.92,25.57,60.8,9.17
79,hithadhoo,49.0,MV,1587169097.0,80.0,-0.6,73.08,83.62,11.83
80,zhangjiakou,94.0,CN,1587169097.0,33.0,40.81,114.88,51.53,1.83
81,lebu,100.0,CL,1587169098.0,92.0,-37.62,-73.65,61.68,5.44
82,bayji,89.0,IQ,1587169098.0,41.0,34.93,43.49,69.84,7.92
83,chuzhou,95.0,CN,1587169098.0,61.0,32.32,118.3,61.0,1.01
84,khatanga,0.0,RU,1587169099.0,92.0,71.97,102.5,11.25,12.19
85,hay river,75.0,CA,1587169099.0,74.0,60.82,-115.8,33.8,5.82
86,jamestown,90.0,US,1587168922.0,92.0,42.1,-79.24,33.01,4.7
87,svetlyy,0.0,RU,1587169099.0,92.0,54.67,20.13,30.2,6.71
88,chokurdakh,21.0,RU,1587168863.0,90.0,70.63,147.92,-5.49,3.94
89,wawa,98.0,NG,1587169099.0,55.0,9.9,4.42,86.4,12.91
90,moerai,99.0,PF,1587169100.0,76.0,-22.43,-151.33,80.38,10.04
91,havoysund,75.0,NO,1587169100.0,86.0,71.0,24.66,35.6,34.45
92,buchanan,99.0,LR,1587169100.0,87.0,5.88,-10.05,81.93,9.78
93,butaritari,88.0,KI,1587169100.0,80.0,3.07,172.79,82.38,16.42
94,kavaratti,26.0,IN,1587169101.0,69.0,10.57,72.64,83.97,4.21
95,minot,20.0,US,1587168933.0,19.0,48.23,-101.3,57.2,16.11
97,cape town,97.0,ZA,1587169101.0,63.0,-33.93,18.42,61.0,8.05
99,morrope,0.0,PE,1587169102.0,75.0,-6.54,-80.01,74.26,16.06
100,nantucket,1.0,US,1587169018.0,56.0,41.28,-70.1,43.0,24.16
101,bluff,88.0,NZ,1587169102.0,82.0,-46.6,168.33,57.0,8.99
102,tolga,75.0,DZ,1587169103.0,36.0,34.72,5.38,78.8,9.17
103,constitucion,82.0,CL,1587169103.0,83.0,-35.33,-72.42,59.61,9.04
104,mount gambier,90.0,AU,1587169103.0,93.0,-37.83,140.77,53.6,5.82
105,sierra vista,20.0,US,1587168903.0,11.0,31.55,-110.3,72.0,13.87
